id,offense,total,white,black,american_indian,asian,year
6063039,Liquor laws,541700,463480,59210,14470,4540,1992
3454936,Drunkenness,832300,670770,141240,18040,2250,1992
1696609,Disorderly conduct,753100,473600,265950,9410,4140,1992
7829722,Vagrancy,34300,17160,16590,420,130,1992
8905365,All other offenses,3389500,2101270,1215320,36250,36670,1992
4249332,Curfew and loitering law violations,91100,70240,18310,890,1660,1992
3458795,Murder and nonnegligent manslaughter,23400,9690,13300,160,250,1993
7598916,Forcible rape,38420,22290,15430,410,290,1993
4781069,Robbery,173620,63740,107410,740,1740,1993
2577313,Aggravated assault,518670,306640,202470,4800,4760,1993
5801463,Burglary,402700,273240,121590,3850,4020,1993
781108,Larceny-theft,1476300,952240,487600,15970,20490,1993
8718507,Motor vehicle theft,195900,111820,79210,1810,3060,1993
3771654,Arson,19400,14680,4370,180,170,1993
8855193,Other assaults,1144900,719920,400020,14130,10830,1993
9776943,Forgery and counterfeiting,106900,68460,36750,650,1040,1993
3775945,Fraud,410700,258840,147250,2040,2580,1993
8889345,Embezzlement,12900,8820,3870,60,160,1993
7368999,Stolen property (buying or receiving or possessing),158100,90800,64630,1010,1670,1993
2057648,Vandalism,313000,233880,72050,3550,3520,1993
4149075,Weapons (carrying or possessing or etc.),262300,146160,111950,1450,2740,1993
3081438,Prostitution and commercialized vice,97800,59180,36740,530,1350,1993
8239344,Sex offenses (except forcible rape and prostitution),104100,80080,21840,1100,1090,1993
1848189,Drug abuse violations,1126300,674760,440900,4850,5800,1993
2639784,Gambling,17300,7670,8860,60,710,1993
6765115,Offenses against family and children,109100,72630,33170,1490,1820,1993
5928407,Driving under the influence,1524800,1330020,159430,21210,14140,1993
6691633,Liquor laws,518500,441310,61730,12300,3150,1993
6575877,Drunkenness,726600,584260,123420,16720,2190,1993
8543569,Disorderly conduct,727000,460960,252810,9640,3590,1993
5842719,Vagrancy,28200,16200,11270,610,120,1993
8392119,All other offenses,3518700,2210020,1240590,36630,31470,1993
2687400,Curfew and loitering law violations,100200,79420,17310,1320,2150,1993
7500985,Murder and nonnegligent manslaughter,22100,9470,12200,170,270,1994
2315543,Forcible rape,36610,21030,14760,430,400,1994
2921677,Robbery,172290,65240,104110,900,2050,1994
673786,Aggravated assault,547760,327330,209780,5270,5380,1994
6493997,Burglary,396100,270740,117470,3820,4080,1994
2221123,Larceny-theft,1514500,985820,489910,16350,22420,1994
9276585,Motor vehicle theft,200200,117100,77810,2020,3270,1994
7236997,Arson,20900,15900,4600,210,180,1994
7367669,Other assaults,1223600,785480,410830,15200,12100,1994
7446214,Forgery and counterfeiting,115300,74350,38740,690,1530,1994
2981764,Fraud,419800,266280,148160,2090,3280,1994
7209405,Embezzlement,14300,9480,4580,60,180,1994
3643188,Stolen property (buying or receiving or possessing),164700,96630,65140,1200,1730,1994
9454062,Vandalism,323300,244810,70510,3800,4170,1994
5967204,Weapons (carrying or possessing or etc.),259400,151220,103560,1690,2920,1994
6071161,Prostitution and commercialized vice,98800,61550,34900,570,1790,1994
6156075,Sex offenses (except forcible rape and prostitution),100700,77540,20910,1170,1080,1994
6998262,Drug abuse violations,1351400,834470,503580,5920,7430,1994
878200,Gambling,18500,9180,8430,50,840,1994
8630279,Offenses against family and children,117200,76140,37450,1630,1980,1994
2367884,Driving under the influence,1384600,1203050,146800,19910,14840,1994
3678699,Liquor laws,541800,456830,67990,13190,3800,1994
4531660,Drunkenness,713200,578600,115620,16670,2320,1994
1929719,Disorderly conduct,746200,494790,237670,9630,4110,1994
630993,Vagrancy,25300,14690,10000,480,120,1994
5479037,All other offenses,3743200,2370450,1298800,37240,36720,1994
2193551,Curfew and loitering law violations,128400,98420,25800,1590,2600,1994
6549272,Murder and nonnegligent manslaughter,10571,4910,5410,110,150,2014
6555224,Forcible rape,21007,,,,,2014
9684979,Robbery,94403,39610,53070,790,930,2014
